winner,moves
black,e4 e6 Na3 Bxa3 bxa3 e5 Bb2 d6 f4 Nc6 Nf3 Bg4 Bc4 Bxf3 Qxf3 Nf6 O-O exf4 Qb3 O-O Qxb7 Na5 Qa6 Nxc4 Qxc4 Rb8 Bc3 d5 exd5 Nxd5 Bd4 Qg5 h4 Qh5 Rae1 Rbd8 Re5 Nb6 Rxh5 Nxc4 Rxf4 Nxd2 Rg5 g6 h5 h6 Rc5 g5 Rg4 f5 Rxc7 Rf7 Rxg5+ hxg5
white,e4 e6 d4 d5 Nc3 Bb4 e5 c5 a3 cxd4 Qxd4 Nc6 Bb5 Bxc3+ Qxc3 Ne7 f4 O-O Nf3 Nf5 Bxc6 bxc6 Qxc6 Bd7 Qc3 Bb5 Bd2 Rc8 Qb3 Bc4 Qa4 Qb6 b3 Bb5 Qa5 Qc5 c3 Ne3 Nd4 Nxg2+ Kf2 Nxf4 Bxf4 f6 Qxb5 Qxc3 Ne2 Qh3 exf6 Rxf6 Ke1 Qg2 Rg1 Qe4 Bd2 Rcf8 Bc3 e5 Rd1 d4 Qc4+ Kh8 Bb4 Rg8 Qd3 Qh4+ Qg3 Qh6 Bd2 Qh5 Bg5 Rg6 Qxe5 h6 Bf4 Rxg1+ Nxg1 Qg6 Kf2 Re8 Qxd4 Qh5 Nf3 Rf8 Rg1 Rf7 Rg3 Kh7 Qe4+ Rf5 Ke3 Qf7 Nd4 g6 Nxf5 gxf5 Qc4 Qe7+ Kf2 Qb7 Qg8#
black,e4 e6 Nf3 c5 b4 cxb4 a3 bxa3 Bxa3 Bxa3 Nxa3 Ne7 c3 O-O d4 d5 e5 Nbc6 Bd3 b6 Ng5 h6 Qh5 Ng6 Nxf7 Rxf7 Qxg6 Qg5 Qh7+ Kf8 O-O Bb7 Bg6 Rf4 Qh8+ Ke7 Qxg7+ Kd8 Nb5 Ne7 Nd6 Bc6 Nf7+ Rxf7 Qxf7 Kd7 Bd3 a5 f4 Qg4 f5 Rg8 Qxe6+ Kd8 Qd6+ Ke8 g3 Qh3 f6 Rxg3+ Kf2 Rg2+ Ke1 Qe3+ Kd1 Qd2#
black,e4 c5 b4 cxb4 a3 d5 exd5 Qxd5 Nf3 Nc6 axb4 Nxb4 Na3 Bg4 Be2 Nf6 Nb5 Qc5 c3 Nbd5 Ba3 Qc8 Qa4 Bd7 Ne5 Nb6 Nxd7 Nxa4 Nxf6+ gxf6 Nd4 a6 Bg4 Qc7 Bb4 Nc5 O-O e6 Nb5 Qd7 Nd4 Be7 Bf3 O-O Ra5 Nd3 Bxe7 Qxe7 Rb1 Rab8 Rh5 Ne5 Bd1 f5 Rb4 Ng6 Bc2 Rfd8 g4 Qxb4 cxb4 Rxd4 gxf5 exf5 Rxf5 Rxd2 Bb3 Rf8 b5 Rb2 Bc4 axb5 Bxb5 Kg7 Bd3 Rd8 Be4 Rd4 Bf3 b5 Bc6 b4 Be8 Rf4
white,Nf3 e6 c4 f5 g3 Nf6 Bg2 d6 d4 Be7 O-O O-O Nc3 Qe8 Re1 Qh5 e4 Ng4 h3 Nf6 exf5 d5 g4 Nxg4 hxg4 Qxg4 cxd5 Bh4 Nxh4 Qxh4 Re4 Qf6 dxe6 Qxf5 Rf4 Qxe6 Rxf8+ Kxf8 Qf3+ Kg8 Qd5 Qxd5
black,e4 c5 b4 cxb4 a3 d5 exd5 Qxd5 Nf3 Nc6 axb4 Nxb4 Na3 Bg4 Nb5 Qc6 Ba3 Nxc2+ Ke2 Qxb5+ d3 Nxa1 Qxa1 Nf6 h3 Bxf3+ gxf3 e6
white,Nf3 e6 c4 f5 g3 Nf6 Bg2 c6 O-O d5 d3 Bd6 Nbd2 O-O e4 Nbd7 Re1 f4 e5 Nxe5 Nxe5 fxg3 hxg3 Bxe5 Rxe5 Qd6 d4 Rb8 c5 Qc7 Nf1 Bd7 Bf4 Qa5 Qe1 Rbe8 Qxa5
white,Nf3 e6 g3 f5 Bg2 Nf6 O-O d5 d3 Bd6 b3 O-O Bb2 Nbd7 Nd4 Qe8 Nd2 c5 Nb5 Bb8 c4 a6 Na3 d4 Nc2 Qh5 b4 Ng4 h3 Nxf2 Rxf2 Bxg3 Rf3 f4 bxc5 Ne5 Rf1 Rf6 Bxd4 Rg6 Bxe5 Qxe5 Ne4 Qh5 e3 e5 Qxh5
black,e4 d6 d4 Nf6 Bd3 g6 f4 Bg7 Nf3 O-O O-O c6 h3 Nfd7 c3 b5 a3 e5 f5 Qb6 Be3 gxf5 exf5 d5 Bc2 e4 Ng5 Nf6 h4 Na6 Nh3 Nc7 Nf4 Bxf5 Nxd5 Ncxd5 Bg5 Bg4 Qe1 Rae8 Qg3 h5 Nd2 Qb8 Qe1 e3 Nf3 Ne4 Ne5 Bxe5 dxe5 Qxe5 Bh6 f5 Bxf8 Rxf8 Bb3 Nd2 Bxd5+ cxd5
black,e4 d5 exd5 Qxd5 Nc3 Qa5 b4 Qxb4 Rb1 Qh4 Nf3 Qh5 Rb5 c5 Ba3 e6 Be2 Bd7 Rxb7 Bc6 Bb5 Bxb5 Nxb5 Na6 Qb1 Qd5 Nc7+ Nxc7 Rxc7 Qe4+ Kf1 Qc4+ d3 Qa6 g3 Bd6 Rb7 Qxa3 Qb5+ Kf8 Qd7 Be7 Ne5 Qxa2 Nc6 Qd5 Qc7 Qxh1+ Ke2 Re8 Ne5 Nf6 Nc6 Nd5 Qe5 Qc1 Rxe7 Qxc2+ Kf1 Qxd3+ Kg2 Nxe7 Kh3 Nxc6 Qxc5+ Kg8 Qxc6 Qf5+ Kg2 Qd5+ Qxd5 exd5
white,e4 e6 Nf3 d5 exd5 exd5 d4 Nf6 Bg5 Be7 Qd3 O-O Nc3 c6 O-O-O Bg4 h3 Bh5 g4 Bg6 Qd2 Be4 Nxe4 Nxe4 Bxe7 Qxe7 Qd3 Nxf2 Qf5 Nxh1 Bd3 Nf2 Qxh7#
white,e4 d5 exd5 Qxd5 Nc3 Qa5 b4 Qe5+ Be2 Bg4 d4 Bxe2 Ngxe2 Qh5 O-O e6 b5 Bd6 h3 Nf6 Qd3 O-O Nf4 Bxf4 Bxf4 c6 Be5 Nd5 Ne4 Nd7 Bd6 Rfe8 c4 N5f6 Ng3 Qg6 Qe3 cxb5 cxb5 Nd5 Qf3 Rac8 a4 Rc3 Qe2 Rec8 Kh1 Qd3 Qg4 N7f6 Qh4 Qg6 Be5 Nd7 Ne4 Rc2 Bd6 Re2 Ng3 Rd2 Ra3 Rd3 Rfa1 Rxa3 Rxa3 Rc1+ Kh2 N7f6 Rf3 Rc4 Be5 Rxa4 Ne2 Rc4 Rg3 Qf5 Rg5 Qe4 Qh6 Kf8 Qxg7+ Ke7 Nf4
black,e4 e5 Nf3 Nc6 Bb5 a6 Ba4 Nf6 O-O b5 Bb3 Bc5 d3 O-O a4 Rb8 a5 h6 Bd5 Re8 Be3 Qe7 Nc3 Nd4 Nh4 Nxd5 Nxd5 Qxh4 Nxc7 Rf8 c3 Bd6 Nxa6 Bxa6 cxd4 exd4 g3 Qf6 Bd2 Rfc8 Re1 b4 f4 Bf8 Qf3 Rc2 Bc1 Rbc8 e5 Qc6 Qxc6 R8xc6
white,d4 e6 c4 f5 Nc3 Nf6 g3 Bb4 Bg2 O-O Nh3 d5 O-O c6 f3 dxc4 e4 c5 Be3 Bxc3 bxc3 Na6 Qa4 cxd4 cxd4 Qc7 Rac1 fxe4 fxe4 c3 e5 Bd7 Qb3 Ng4 Rxf8+ Rxf8 Rxc3 Bc6 Qxe6+ Kh8 Qxg4 Qa5 Rc1 Bxg2 Kxg2 Qxa2+ Nf2 Nb4 Rc8 Qd5+ Kh3 Qf7 e6 h5 Qe4 Qe7 Bg5
white,e4 d5 exd5 Qxd5 Nc3 Qa5 b4 Qxb4 Rb1 Qd6 Nb5 Qd8 Rb3 c6 Rd3 Qb6 Nd4 Nf6 Ba3 Nbd7 Ngf3 Nc5 Be2 Nxd3+ Bxd3 Bg4 O-O O-O-O c3 e6 Bxf8 Rhxf8 Qa4 Nd5 Rb1 Qc7 Qxa7 h5 Ne5 Rd6 Qa8+ Qb8 Qa3 Nf4 Ndxc6
black,e4 c5 b4 cxb4 a3 bxa3 Bxa3 Nc6 c3 d6 d4 g6 f4 Bg7 e5 dxe5 fxe5 Nh6 Nf3 O-O Bd3 Bf5 O-O Bxd3 Qxd3 Nxe5 Nxe5 Bxe5 Qe3 Bg7 Bxe7 Re8 Bxd8 Rxe3 Bg5 Re2 Na3 a6 Nb5 Rc8 Nd6 Rxc3 Bxh6 Bxh6 Nxf7 Be3+ Kh1 Rcc2 Rfe1 Kxf7
black,e4 c6 d4 d5 exd5 cxd5 Bd3 Nf6 c3 e6 Nf3 Be7 Bf4 b6 Nbd2 O-O O-O Ba6 Qe2 Bxd3 Qxd3 Nc6 Ne5 Nxe5 dxe5 Nd7 Nf3 Nc5 Qe2 a6 Rfd1 b5 Nd4 Rc8 Qh5 g6 Qh6 Re8 b4 Ne4 Rd3 Bg5 Bxg5 Qxg5 Qh3 Rxc3 Rxc3 Nxc3 Qxc3 Qxe5 Re1 Qf6 Nxb5 e5 Nc7 Rc8 Nxd5 Qe6 Qf3 f5 Nf4 Qe7 Nd3 e4 Qd1 Rd8 Qb3+ Kg7 Nc5 Rd6 a4 Qe5 h3 Rd2 Rd1 Rb2 Qc4 Kh6 Nd7 Qf4 Qc5 Kh5 Nf6+ Kg5 Nxh7+ Kh6 Nf6 Kg7 Rd7+ Kh6 Qf8+ Kg5 Nh7+ Kh5 g4+ Kh4 Qf6+ Kxh3 Qxb2 e3 Rd3 Qxg4+ Kf1 Qg2+ Ke1 Qg1+ Ke2 Qxf2+ Kd1 Qxb2 Rxe3+ Kg4 Re2 Qxb4 Rf2 Qxa4+ Ke2 f4 Rg2+ Kf5 Rg5+ Ke4 Nf6+ Kd4 Rd5+ Kc4 Kf3 Qb3+ Kxf4 Qb2 Kg5 Qxf6+ Kxf6 Kxd5 Kxg6 a5 Kf5 a4 Kf4 a3 Ke3 a2 Kf4 a1=Q Kf5 Qe1 Kg4 Qf2 Kg5 Ke5
black,e4 g6 d4 Nf6 Bd3 Nc6 c3 h5 Qc2 h4 e5 Nd5 Bxg6 e6 Be4 d6 Nf3 Rg8 g3 h3 Bxd5 exd5 Bf4 dxe5 dxe5 Bg4 Nbd2 Qd7 O-O-O O-O-O Rde1 Be7 Re3 Bf5 Qa4 Bc5 Nd4 Nxd4 Qxd7+ Rxd7 cxd4 Bxd4 Ree1 Bxf2 Ref1 Bb6 Be3 Bd3 Rf3 Be4 Bxb6 Bxf3 Nxf3 axb6 Kd2 Re7 Kd3 Kd7 Rd1 Ke6 a3 c5 b4 Ra8 Ra1 cxb4 a4 Rc7 Nd4+ Kxe5 Re1+ Kf6 Rf1+ Kg6 Nb5 Rc5 Nd6 Rxa4 Nxf7 Ra2 Ne5+ Kg7 Rf7+ Kg8 Rxb7 Rc3+ Kd4 Rd2+ Nd3 Rcxd3+ Ke5 Rxh2 Kf6 Rf2+ Kg5 Rxg3+ Kh4 Rg6 Kh5 Rg1 Rb8+ Kg7 Rb7+ Rf7 Rxb6 h2 Rxb4 h1=Q+ Rh4 Rf5#
white,e4 e6 g3 b6 Bg2 Bb7 Ne2 d5 O-O c5 exd5 exd5 c4 Nf6 Nf4 Be7 cxd5 Nxd5 Qf3 Nxf4 Qxb7 Ne2+ Kh1 O-O Qxa8 Nxc1 Rxc1 Qd4 Qxa7 Qxb2 Nc3 Bf6 Rcb1 Qxd2 Ne4 Qd4 Rd1 Qe5 Rab1 Bd8 Nd6 Be7 Nxf7 Kxf7 Re1 Qg5 h4 Nc6 Bxc6 Qf6 Bd5+
black,e4 c6 d4 d5 exd5 cxd5 Nc3 Nc6 Nf3 Nf6 Bd3 Bg4 Be3 e6 Qd2 Bd6 O-O-O a6 h3 Bh5 g4 Bg6 Bxg6 hxg6 Ng5 b5 f4 Na5 f5 Nc4 Qe2 Qc7 fxe6 Nxe3 exf7+ Kd7 Qxe3 Bf4 Nxd5 Bxe3+ Nxe3 Qf4 Kb1 Qxg5 Ng2 Qd5 Nf4 Qxf7 d5 g5 Ne6 Nxd5 Rhe1 Kd6 Nxg5 Qf4 Re6+ Kc7 Rg6 Rad8 Ne6+ Kb7 Rxg7+ Kb8 Nxf4 Nxf4 Rxd8+ Rxd8 b3 Nxh3 Kb2 Rd4 g5 Rg4 g6 Nf4 Rg8+ Kb7 g7 Ne6 Re8 Nxg7 Rg8 Rg3 a4 b4 Rf8 Ne6 Rf7+ Kb6 Rf6 Re3 Kc1 a5 Kd2 Re5 Kd3 Kc5 Rf7 Nd4 Rc7+ Nc6 Rc8 Rd5+ Ke4 Rd1 Rh8 Rd2 Rh5+ Kd6 Rh6+ Kc7 Rh7+ Kb6 Rh6 Rxc2 Kd5 Rc5+ Ke4 Re5+ Kd3 Kc5 Rh4 Rg5 Rc4+ Kd5 Rh4 Rg3+ Kc2 Nd4+ Kb2 Rg2+ Kc1 Nxb3+ Kd1 Nc5 Kc1 b3 Kb1 Nd3 Rh1 Kc4 Ka1 Kb4 Rd1 Nb2 Rb1 Nc4 Rf1 Ra2+ Kb1 Nd2+ Kc1 Nxf1 Kb1 Kc3 Kc1 Ra1#
black,e4 c5 b4 cxb4 a3 d5 exd5 Nf6 axb4 Nxd5 Nf3 Nxb4 Ba3 N4c6 Bc4 e6 Bxf8 Kxf8 O-O b6 Nc3 Bb7 Re1 Nd7 Bb5 h5 Ne4 h4 Nd6 Qc7 Nxb7 Qxb7 c3 h3 g3 Nce5 Re3 Ng4 Re1 Nde5 Be2 Rh6 d4 Rd8 Ra2 Rf6 Nh4 Nxf2 Qc1 Qh1#
white,d4 e6 g3 d5 Bg2 c6 Nf3 f5 O-O Nf6 b3 Be7 Bb2 O-O Nbd2 Nbd7 c4 Ne4 e3 Qe8 Ne1 Rf6 f3 Nd6 e4 Rh6 e5 Qh5 h3 Qg5 exd6 Bxd6 f4 Qxg3 Rf3 Qh4 Nd3 g5 fxg5 Qxg5 Ne5 Kh8 Nf7+
black,e4 c5 b4 cxb4 a3 bxa3 Nxa3 e6 c3 Nc6 d4 d5 e5 f5 Nf3 Nge7 Nb5 Ng6 Bg5 Qd7 Bd3 a6 O-O h6 Bh4 b6 Nd2 Bb7 Qh5 Qf7 g4 axb5 Rxa8+ Bxa8 Ra1 Bb7 Bxb5 Nxh4 Qxh4 Be7 Qg3 O-O gxf5 Qxf5 Bxc6 Bxc6 Ra7 Rf7 Nf1 Bg5 Ra6 Bf4 Qh4 Bg5 Qg3 Qb1 Kg2 Bb5 Ra8+ Kh7 Ne3 Bxe3 Qxe3 Bf1+ Kg3 Qg6+ Kh4 Rf5
white,e4 e6 d4 d5 Nc3 Bb4 e5 c5 a3 cxd4 axb4 dxc3 Qg4 cxb2 Bxb2 g6 Nf3 Nh6 Qf4 Nf5 Bd3 Nc6 b5 Nce7 g4 g5 Qxg5 Rg8 Qh5 Ng7 Qh6 Ng6 Qxh7 Kd7 b6 Qf8 Ba3 Rh8 Bxf8 Rxh7 Rxa7 Nxf8 Rxa8 Rh3 Nd4 Ng6 Bb5+ Kd8 Nc6+ bxc6 b7 cxb5 bxc8=Q+ Ke7 Ra7#
black,e4 e6 d4 d5 exd5 exd5 h3 Nf6 Nf3 Bd6 Bb5+ c6 Ba4 b5 Bb3 a5 a4 b4 O-O h6 Re1+ Be7 Bf4 O-O Nbd2 Bf5 c4 Be4 Nxe4 Nxe4 Qd3 Bf6 cxd5 cxd5 Bxd5 Qxd5 Qxe4 Qxe4 Rxe4 Nd7 Rc1 Rfe8 Ree1 Nb6 Be5 Nxa4 Bxf6 gxf6 Rc2 Rxe1+ Nxe1 Rd8 Nf3 Kg7 Kf1 Kg6 Ke2 Kf5 Kd3 b3 Re2 Nb6 Kc3 a4 Re7 Nd5+
black,d4 d5 c4 e6 Nc3 Nf6 e3 c5 cxd5 exd5 dxc5 Bxc5 Nf3 O-O a3 Nc6 b4 Bb6 Bb2 d4 exd4 Nxd4 Nxd4 Bxd4 Be2 Ne4 Nxe4 Bxb2 Qxd8 Rxd8 Ra2 Be5 O-O Bf5 Ng3 Be6 Rc2 Rac8 Rfc1 Bb2 Rxc8 Bxc8 Rc7 Bxa3 b5 Bd6 Rc4 f5 Rd4 Kf7 Bc4+ Ke7 Kf1 Be5 Rh4 f4 Ne2 Rd1#
white,d4 Nf6 Nf3 g6 e3 Bg7 Bd3 d6 c3 O-O O-O b6 e4 Ba6 e5 Ne8 Bg5 Bxd3 Qxd3 h6 Bf4 Nc6 Qe3 g5 Bg3 e6 Nbd2 d5 h4 Ne7 hxg5 Nf5 Qf4 hxg5 Nxg5 Bh6 Ndf3 Neg7 Qg4 f6 Nxe6 Qe7 Nxf8 Rxf8 exf6 Rxf6 Be5 Re6 Bxg7 Nxg7 Ne5 Qf6 f4 Qf5 Rae1 Rf6 Qxf5 Rxf5 g4 Rxf4 Rxf4 Bxf4 Rf1 Be3+ Kg2 c5 dxc5 bxc5 Nc6 Ne6 Ne7+ Kh7 Nxd5 Bg5 Rf7+ Kg6 Rxa7 Bc1 Rb7 Kg5 b4 c4 Kf3 Ba3 Ra7 Bc1 a4 Kg6 a5 Ng5+ Kg2 Bd2 Ra6+ Kg7 Rc6 Ne4 Rxc4 Nd6 Rc7+ Kf8 a6 Nb5 Rb7
black,d4 Nf6 Bg5 d5 f3 c5 e3 e6 Bb5+ Nc6 Nc3 a6 Bxc6+ bxc6 Nge2 cxd4 Nxd4 c5 Nb3 h6 Bh4 g5 Bf2 Bg7 O-O c4 Nd4 Bd7 e4 O-O exd5 Nxd5 Nxd5 exd5 h4 gxh4 c3 h3 g4 Be5 Qd2 Kh7 Be3 Qh4 Kh1 Rg8 Qd3+ Kh8 Qe2 Rae8 Rg1 h2 Rg2 h5 gxh5 Bh3 Rxg8+ Rxg8 f4 Bg2+ Qxg2 Rxg2 Kxg2 Bxf4 Bxf4 Qxf4 Rh1 Qd2+ Kh3 Qxb2 Rxh2 Qxc3+ Kg4 Qxd4+ Kg5
black,c4 e5 Nc3 Bb4 Qc2 Nf6 a3 Bc5 b4 Be7 e3 O-O Nf3 d6 d4 exd4 exd4 Bg4 Bg5 d5 Ne5 c6 Bxf6 Bxf6 Nxg4 Bxd4 O-O-O Qg5+ Kb2 Bxc3+ Qxc3 Qxg4 Bd3 dxc4 Bxc4 Nd7 h3 Qf5 g4 Qxf2+ Rd2 Qf4 Rxd7 a5 Rxb7 axb4 Qxb4 c5 Qb3 Rab8 Rf1 Qd2+ Ka1 Rxb7 Qxb7 Qc3+ Qb2 Qxc4 Rc1 Qd4 Ka2 Rd8 Qc2 Rd5 a4 Qb4 Qb3 Rd2+ Rc2 Rxc2+ Qxc2 h5 gxh5 c4 Qb2 Qxa4+ Kb1 Qd1+ Ka2 Qxh5 Qb8+ Kh7 Qg3 Qd5 Kb2 Qd3 Qh4+ Kg8 Qe1 c3+ Qxc3 Qxc3+ Kxc3 Kh7 Kd4 Kh6 Ke4 Kh5 Kf4 Kh4
black,e4 c5 Nc3 Nc6 Bb5 e6 Nge2 a6 Bxc6 dxc6 d3 Bd6 f4 Ne7 O-O O-O Be3 b5 a3 Bb7 Qe1 Qc7 Rf3 Rad8 Rh3 Ng6 e5 Be7 g4 f6 exf6 Rxf6 d4 c4 Ne4 Rff8 Nc5 Bxc5 dxc5 Bc8 Nd4 Nxf4 Rg3 Nd5 Bg5 Nf6 Nxe6 Bxe6 Qxe6+ Kh8 Rf1 Rd5 Bxf6 gxf6 Rxf6 Rd1+ Kg2 Rd2+ Kh3 Qg7 Rxf8+ Qxf8 Qxc6 Rxc2 g5 Rxb2 Qxa6 Qf5+ Kh4 Rxh2+
black,Nf3 Nf6 c4 g6 Nc3 Bg7 d4 d6 e3 O-O Bd3 c5 O-O a6 Re1 e6 b3 b6 Bb2 Bb7 Rb1 Nbd7 e4 cxd4 Nxd4 d5 exd5 exd5 Na4 Nc5 Bc2 Nxa4 bxa4 dxc4 Nf3 Qxd1 Rbxd1 Bxf3 gxf3 b5 Ba3 Rfe8 Be7 Nh5 Be4 Ra7 Bc6 Rexe7 Rxe7 Rxe7 axb5 axb5 Bxb5 c3 Rd8+ Bf8 Bd3 Nf4 Bc2 Re1#
white,e4 c5 Nf3 Nc6 Nc3 e6 Bb5 d5 d4 Bd7 exd5 exd5 Nxd5 Nge7 Nxe7 Qxe7+ Be3 cxd4 Nxd4 O-O-O c3 Nxd4 Bxd7+ Qxd7 cxd4 Bb4+ Kf1 Qb5+ Qe2 Qxe2+ Kxe2 Rhe8 Kf3 Re6 g3 Rde8 Rac1+ Kd7 a3 Ba5 b4 Bb6 Rhd1 h6 Rd3 g5 h3 Rf6+ Kg2 Kd6 a4 a6 a5 Ba7 Rdc3 Rfe6 Rc7 f5 Rxb7 f4 gxf4 gxf4 Bxf4+ Kd5 Rxa7 Rg8+ Bg3 h5 h4 Re4 Rxa6 Rxh4 b5 Rxd4 b6 h4 b7 hxg3 fxg3 Rd2+ Kh3 Rd3 Rg1 Rb3 Ra8 Rgxg3+ Rxg3 Rxb7 a6 Rh7+ Kg2 Kc6 Rb3
black,Nf3 d5 c4 d4 e3 dxe3 fxe3 b6 d4 Bb7 Nc3 e6 Bd3 Bb4 Qa4+ Nc6 O-O Bxc3 bxc3 Ne7 Ne5 O-O Ba3 Nxe5 Bxh7+ Kxh7 dxe5 Rh8 Qb4 Nc6 Qb1+ g6 Rxf7+ Kh6 Qe4 Qg5 h4 Qg3 Rxc7 Nd8 Rxb7 Nxb7 Qxb7 Qxe3+ Kh1 g5 Bc1 Qe1+ Kh2 Qxh4+ Kg1 Qe1+ Kh2 Kg6+ Qh7+ Rxh7#
black,f4 Nf6 Nf3 d5 g3 c5 Bg2 Nc6 d4 e6 c3 cxd4 cxd4 Bb4+ Nc3 Ne4 Bd2 Nxd2 Nxd2 Nxd4 Qa4+ Nc6 O-O Bd7 Kh1 Qb6 f5 Nd4 Qd1 Nxf5 a3 Ne3 Qb3 Bc6 axb4 d4 Bxc6+ Qxc6+ Nce4 f5 b5 Qd5 Qxd5 exd5 Nd6+ Kd7 Nxf5 Nxf1 Rxf1 Rhf8 Nxd4 Rxf1+ Nxf1 a6 b6 Rc8 Ne3 Rc1+ Kg2 Rb1 b3 g6 Kf3 Kd6 h4 Kc5 Kf4 Kxd4 b4 h6 g4 Rb2 Kf3 Rb3 Kf4 Rxe3 g5 hxg5+ Kxg5 Rg3+ Kf6 Ke3 Ke5 d4 Kd5 Rg4 Kd6 Kxe2 Kc7 d3 Kxb7 Rxb4 Kxa6 Rxb6+ Kxb6 d2 Kc6
draw,e4 c5 d4 cxd4 Qxd4 Nc6 Qa4 Nf6 Nf3 e6 Nc3 d5 Bg5 Be7 Bb5 Bd7 e5 Nh5 Bxe7 Qxe7 g4 a6 gxh5 O-O Bxc6 Bxc6 Qd4 f6 Rg1 Be8 h6 Bg6 Qe3 Qb4 O-O-O Rac8
black,d4 d5 Nc3 Nf6 e3 c5 dxc5 e6 Bb5+ Nc6 Bxc6+ bxc6 b4 Ba6 Nge2 Rb8 a3 Be7 O-O O-O Re1 Qc7 f4 e5 h3 Nh5 g4 Bh4 gxh5 Qd7 Kh2 Bc8 Ng1 Bf2 Qg4 Qxg4 hxg4 Bxe1 Nce2 Bxg4 Bb2 Bh4 Bxe5 Bf6 Bxf6 gxf6 Nd4 Rfc8 h6 Kf8 Kg3 Bd7 Ngf3 Ke7 Kf2 Rg8 f5 Rg4 c3 Rbg8 a4 Rg2+ Kf1 Rb2 Ne2 Bxf5 b5 Bd3 Re1 Ra2 Nd4 cxb5 c6 bxa4 Kf2 Bxe2 Nxe2 Kd6 Kf3 Kxc6 Nd4+ Kd7 Nf5 Rg5
draw,Nf3 e6 c4 d5 cxd5 exd5 e3 Nf6 d4 Bd6 Nc3 c6 Bd3 Bg4 O-O O-O h3 Bh5 Re1 Re8 e4 dxe4 Nxe4 Nxe4 Bxe4 Nd7 Qc2 Bg6 Bxg6 hxg6 Bg5 Nf6 Ne5 Qc7 Nf3 Nd5 a3 Bf4 h4 Bxg5 Nxg5 Qf4 g3 Qf5 Qb3 b6 Kg2 f6 Nh3 Kh7 Rac1 Qd7 Qd3 Re6 h5 Rxe1 hxg6+ Kg8 Rxe1 Re8 Rxe8+ Qxe8 Nf4 Nxf4+ gxf4 Qe6 f5 Qd5+ f3 Kf8 Qe4 a6 Qh4 c5 Qh8+ Qg8 Qxg8+ Kxg8 dxc5 bxc5 Kf2 Kf8 Ke3 Ke7 Ke4 Kd6 a4 a5 b3 Kc6 f4 Kd6 Ke3 Kd5 Kd3 Kd6 Kc4 Kc6
black,Nf3 b5 d4 Nc6 e3 a6 a3 e6 c4 b4 Bd3 Nf6 O-O Bb7 c5 a5 Re1 h5 Nbd2 h4 h3 Nh5 Ne4 Be7 Qc2 Bf6 Nxf6+ Qxf6 Nh2 Ne7 axb4 axb4 Rxa8+ Bxa8 Qa4 O-O Qxb4 Qg5 e4 Nf4 Qd2 Neg6 Ng4 f5 exf5 exf5 Bxf5 Qxf5 f3 Nxh3+ gxh3 Qxf3 Qh2 Kh7 Ne5 Nxe5 dxe5 Qd5 Qc2+ Kh8 Kh2 Qd4 Be3 Qxe5+ Kg1 Qe6 Qh2 Qg6+
black,Nf3 c5 c4 Nc6 Nc3 g6 e3 Bg7 d4 cxd4 exd4 d6 Bd3 Nf6 O-O O-O Bg5 a6 a3 Qb6 Bxf6 Bxf6 Nd5 Qxb2 Nxf6+ exf6 d5 Ne5 Nxe5 fxe5 Qf3 Kg7 h4 f5 h5 e4 h6+ Kg8 Bxe4 fxe4 Qg3 Qe5 Qb3 Rf5 Rfe1 Rh5 f3 Qh2+ Kf2 Bh3 Rg1 Rf8 Qxb7 e3+ Ke2 Rxh6 Qc6 Qg3 gxh3 Qf2+ Kd3 Rh4 Qxd6 Qd2#
white,Nf3 b6 d4 Ba6 Nc3 e6 a3 Nf6 b4 Be7 b5 Bb7 e3 d6 Bd3 Nbd7 O-O O-O Re1 c5 Bb2 Rc8 dxc5 Nxc5 Be2 e5 Na2 Nce4 Nd2 Qc7 Nb4 d5 c4 Bxb4 axb4 dxc4 Nxc4 Rfd8 Qb3 Bd5 Bxe5 Qxe5 Nxe5 Bxb3 Rxa7 h6 Nc6 Ra8 Rb7 Rd2 Rxb6 Raa2 Nd4 Nc3 Bf3 Rxf2 Nxb3 Ng4 h3 Ne5 Rb8+ Kh7 Ba8 Nd3 Ra1 Ne2+ Kh2 Rb2 Be4+ f5 Bxd3 Rxb3 Bxe2 Rxe2 b6 Rxb4 b7 Reb2 Ra7 Kg6 Kg3 Kf6 Rf8+ Ke6 Raa8 Rxb7 Rae8+ Re7 Rxe7+ Kxe7 Rxf5 Re2 Kf3 Re1 Ke4 Ke6 Ra5 Rg1 Ra6+ Kf7 Kf3 Rf1+ Kg3 g6 e4 h5 e5 Re1 Kf4 Re2 g3 Rf2+ Kg5 Rf5+ Kh6 Rxe5 Rxg6 Rc5 Rg5 Rc3 Kxh5 Kf6 Rg4 Kf5 Rf4+ Ke5 Kg4 Rc6 h4 Rg6+ Kf3 Rh6 Ra4 Rh7 Kg4 Rg7+ Kh3 Rf7 h5 Kf5 Kh4 Re7 Rf4+ Ke5 Rf1 Rd7 g4 Rd4 h6 Rd2 Kg5 Rh2 Kg6 Ke4 h7 Ke3 Kg7 Ke2 Rf5
white,Nf3 Nc6 c4 e6 d4 h6 Nc3 Bb4 Qc2 Nf6 a3
black,e4 d5 exd5 Nf6 c4 c6 dxc6 Nxc6 d4 Nxd4 Nc3 e5 Bg5 Be7 Nd5 Nxd5 cxd5 Bxg5 Qa4+ Bd7 Qb4 Nc2+
